Experiment,Flask,Buoyant,Dry,Buoyant_subsample,Dry_subsample,Chemical,Flask,Flask_empty
1,1,NA,15.02042,NA,NA,0,279.166,267.019
1,2,NA,15.01561,NA,NA,40,353.716,253.744
1,3,NA,15.00891,NA,NA,72,428.621,265.027
1,4,NA,15.00198,NA,NA,0,301.631,258.261
1,5,NA,14.99772,NA,NA,40,335.989,258.033
1,6,NA,15.01134,NA,NA,72,462.542,262.105
2,1,NA,10.00387,NA,NA,0,NA,NA
2,2,NA,10.00521,NA,NA,0,NA,NA
2,3,NA,9.99834,NA,NA,27,NA,NA
2,4,NA,9.99669,NA,NA,19,NA,NA
2,5,NA,0,NA,NA,0,NA,NA
2,6,NA,0,NA,NA,0,NA,NA
2,7,NA,10.00193,NA,NA,27,NA,NA
2,8,NA,10.00358,NA,NA,19,NA,NA
3,1,4.432,NA,0.901,0.1074,0,267.945,266.938
3,2,7.744,0.89948,NA,NA,0,255.503,253.466
3,3,7.407,NA,1.687,0.22069,0,269.637,264.989
3,4,6.669,1.03388,NA,NA,0,260.475,258.233
3,5,5.206,NA,1.385,0.15812,0,259.347,257.994
3,6,5.652,0.67495,NA,NA,0,263.559,262.073